accepted.name,family,source,organ.rough,application,symptoms.eng,ebds.level2
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,roots,NA,postpartum haemorrhage,injuries
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,abortive,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,roots,NA,adenitis,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,cholagogues,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,twigs,NA,adenitis,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,hepatotropic,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,postpartum haemorrhage,injuries
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,cough,respiratory system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,roots,NA,difficult puerperium,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,vulnerable,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,twigs,NA,postpartum haemorrhage,injuries
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,twigs,NA,dystocias,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,stomachic,digestive system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,seeds,NA,purifying,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,rheumatism,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,seeds,NA,malaria,infections/infestations
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,roots,NA,dystocias,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,twigs,NA,difficult puerperium,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,NA,malaria,infections/infestations
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,tapeworm,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,heart diseases,circulatory system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,liver problems,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,dyspepsia,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,NA,abortion,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,NA,abortion,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,maceration,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,leaves,NA,diuretics,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,seeds,NA,fever,infections/infestations
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,NA,hemorrhoids,circulatory system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,decoction,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,maceration,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,NA,vermifuge,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,NA,hemorrhoids,circulatory system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,adenites,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nacoulma-Ouédraogo1996,fruits,NA,albuminuria,genitourinary system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,decoction,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,maceration,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,NA,abortion,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,NA,vermifuge,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,fruits,decoction,anxiety,mental disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,NA,vermifuge,NA
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,NA,malaria,infections/infestations
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,wood,NA,hemorrhoids,circulatory system disorders
Abelmoschus esculentus (L.) Moench,Malvaceae,Nadembega2011,leaves,NA,malaria,infections/infestations
Abrus precatorius L.,Fabaceae,Akoègninou 2006,twigs,NA,hepatitis,NA
Abrus precatorius L.,Fabaceae,Kerharo & Adam1974,seeds,NA,abscess,NA
Abrus precatorius L.,Fabaceae,Berhaut1976,leaves,NA,teeth ache,skin/subcutaneous cellular tissue disorders
